,Food,Calories,Carbohydrate,Fiber,Protein,Sugar,Salt,Polyunsaturated (good) Fat,Saturated (bad) Fat,Monounsaturated (bad) Fat,Calcium,Iron,Magnesium,Phosphorus,Potassium,Zinc,Copper,Vitamin A,Vitamin B6,Vitamin B12,Vitamin C,Vitamin D,Vitamin K,Selenium,Thiamin,Niacin,Food Folate,Choline
650,"Chimichanga, with beef, cup, cooked, flaked",317.0,19.42,1.3999,10.77,1.3999,543.0,5.7549,5.1959,9.316,59.0,1.99,16.0,111.0,199.0,2.02,0.084,5.0,0.161,0.86,1.8999,0.1,6.0999,14.3,0.163,2.7599,9.0,28.3999
651,"Chimichanga, with beans, cheese and sour cream, cup, cooked, flaked",220.0,25.69,3.3999,6.6398,2.45,475.0,2.394,3.3639,4.0038,97.0,1.8798,26.0,144.0,236.0,0.66,0.116,27.0,0.1,0.06,1.8,0.1,6.9,11.4,0.166,1.358,30.0,16.8
652,"Pupusa, bean-filled, cup, cooked, flaked",182.0,29.8998,3.7,6.0198,1.07,202.0,1.105,1.7748,1.512,97.0,0.94,42.0,128.0,179.0,1.0,0.11,4.0,0.179,0.04,1.0,0.0,1.7,7.0,0.081,0.571,23.0,10.3
653,"Pizza, cheese, thick crust, cup, cooked, flaked",271.0,33.17,2.2,10.81,3.3399,597.0,2.7519,4.226,2.595,179.0,2.48,23.0,209.0,169.0,1.27,0.104,69.0,0.06,0.35,1.2,0.0,10.0,18.1,0.365,3.495,40.0,16.6
654,"Pizza, with extra cheese, regular crust, cup, cooked, flaked",268.0,31.3098,2.1,12.39,3.3799,602.0,1.601,4.9028,2.761,225.0,2.33,24.0,237.0,167.0,1.4599,0.1,75.0,0.079,0.48,1.3,0.0,6.2999,19.6999,0.369,3.572,38.0,16.0
655,"Pizza, with vegetables, regular crust, cup, cooked, flaked",242.0,30.71,2.2,10.31,3.62,535.0,1.514,3.999,2.3359,170.0,2.2599,23.0,196.0,171.0,1.22,0.101,63.0,0.09,0.38,4.7999,0.0,6.5,17.8998,0.354,3.455,37.0,15.4
656,"Pizza, with pineapple, thin crust, cup, cooked, flaked",260.0,28.5,2.2999,10.72,5.45,614.0,2.5259,5.152,2.9049,241.0,1.4599,22.0,245.0,184.0,1.33,0.099,60.0,0.066,0.47,3.7999,0.0,8.0998,16.6,0.184,2.192,34.0,16.6
657,"Pizza, with chicken, thick crust, cup, cooked, flaked",260.0,28.84,1.8998,13.17,2.8999,530.0,2.613,3.9409,2.603,158.0,2.31,23.0,207.0,179.0,1.3798,0.099,62.0,0.113,0.35,1.0,0.0,9.0,18.6,0.326,4.2359,36.0,24.6999
658,"Pizza, with extra meat, regular crust (Meat lovers, Meatzza), cup, cooked, flaked",276.0,26.67,1.8,14.23,2.89,636.0,1.756,5.1608,4.0179,153.0,2.33,24.0,213.0,201.0,1.71,0.101,56.0,0.147,0.64,1.2,0.1,5.9,21.3,0.363,4.5228,33.0,27.8998
659,"Pizza, with meat and vegetables, regular crust, cup",244.0,25.3798,2.2,11.02,3.73,589.0,1.8898,4.407,3.7869,120.0,1.86,23.0,183.0,184.0,1.24,0.138,61.0,0.098,0.68,0.1,0.0,6.2,23.1,0.256,3.1,26.0,21.6999
660,"Pizza, with extra meat and extra vegetables, prepared from frozen, thin crust, cup, solid or chunks, drained",262.0,23.39,1.8998,10.21,3.14,494.0,1.907,4.9108,5.341,142.0,2.0,21.0,158.0,163.0,1.3,0.198,52.0,0.105,0.72,4.7,0.1,6.0,19.6,0.209,2.233,2.0,19.8
661,"Pizza, with extra meat and extra vegetables, regular crust (Supreme Pizza, Extravaganzza), cup, solid or chunks, drained",234.0,26.1,2.0,11.51,3.08,523.0,1.474,3.988,2.979,147.0,2.2599,22.0,190.0,189.0,1.4098,0.118,54.0,0.122,0.47,3.6,0.1,5.5998,17.8998,0.323,3.9079,32.0,21.6
662,"Pizza, with meat and vegetables, prepared from frozen, lowfat, thin crust, cup, cooked, flaked",208.0,21.73,1.1,9.8699,1.72,459.0,1.538,2.9889,3.1739,103.0,1.6299,15.0,148.0,145.0,0.95,0.094,25.0,0.09,0.25,8.5999,0.1,3.5,13.6999,0.215,2.3189,14.0,14.8
663,"Pizza, with beans and vegetables, thick crust (Pizza Hut Taco Pizza), cup, cooked, flaked",224.0,28.5598,2.7999,9.3598,2.7999,481.0,2.1429,3.2559,1.994,146.0,2.2799,26.0,182.0,211.0,1.1,0.117,59.0,0.064,0.27,2.3999,0.0,8.5,14.0,0.308,2.7949,43.0,17.6
664,"Pizza, with seafood, thick crust, cup, cooked, flaked",330.0,43.38,1.6,14.1999,1.23,618.0,1.604,4.9429,3.204,217.0,2.91,25.0,229.0,106.0,1.34,0.106,49.0,0.065,0.31,0.3,0.1,3.2999,26.1,0.367,3.1979,21.0,14.8
665,"Pizza, no cheese, thick crust, cup, cooked, flaked",291.0,37.89,2.1,7.6299,5.4298,554.0,2.811,2.564,5.517,22.0,2.47,16.0,81.0,160.0,0.74,0.113,8.0,0.12,0.18,5.2,0.1,9.3,17.6999,0.429,3.741,35.0,17.1999
666,"Tembleque, cornstarch coconut pudding, Puerto Rican style, cup, cooked, flaked",279.0,20.87,2.1,2.18,13.0299,72.0,0.248,19.959,0.958,15.0,1.58,35.0,95.0,249.0,0.64,0.255,0.0,0.03,0.0,2.1,0.0,0.1,6.0998,0.021,0.682,12.0,8.0
667,"Crepe, filled with meat, fish or poultry, no sauce , cup, cooked, flaked",199.0,11.13,0.8,14.44,2.0899,470.0,1.362,4.839,3.4209,45.0,1.01,18.0,149.0,239.0,0.78,0.079,81.0,0.341,0.25,0.8,0.6,10.6999,20.3,0.111,4.5388,13.0,55.2
668,"Dumplings, vegetable and cheese (pierogi), cup, cooked, flaked",164.0,27.3098,1.7,5.15,0.93,467.0,1.1818,1.3938,0.901,53.0,1.61,16.0,78.0,142.0,0.5,0.084,29.0,0.096,0.03,9.4,0.0,31.5,11.4,0.214,1.835,23.0,14.6999
669,"Kishka (kishke), cup, cooked, flaked",460.0,35.1,1.6,4.7199,1.1,402.0,1.486,16.3,13.657,13.0,2.06,12.0,53.0,82.0,0.34,0.074,0.0,0.044,0.0,1.3,0.2,0.5,14.8,0.28,2.3119,12.0,31.6999
670,"Knish, meat (pastry filled with meat), cup, cooked, flaked",349.0,25.6498,1.1,13.13,0.74,422.0,4.955,5.1539,9.721,26.0,2.5499,17.0,132.0,171.0,2.2599,0.089,176.0,0.166,0.92,0.8,0.7,17.3,22.6999,0.225,3.1699,18.0,73.5999
671,"Turnover, meat and cheese (Hot Pockets Ham & Cheddar), cup, cooked, flaked",241.0,30.55,1.5,9.16,7.5998,504.0,1.936,3.5449,2.547,152.0,2.0,18.0,168.0,188.0,0.95,0.113,0.0,0.095,0.35,0.1,0.2,0.8,11.6,0.417,3.4249,11.0,29.1
672,"Turnover, cheese and tomato sauce (Hot Pockets Pizza), cup, cooked, flaked",270.0,31.37,1.8,11.77,9.05,687.0,1.31,5.4298,3.4639,317.0,2.1299,26.0,54.0,206.0,1.4498,0.107,60.0,0.109,1.08,0.0,0.1,17.6999,17.1,0.271,1.81,24.0,17.1
673,"Lasagna, meatless, whole wheat noodles, cup",131.0,17.1298,2.0,7.54,3.0899,303.0,0.247,2.5569,1.1538,135.0,1.1,25.0,129.0,172.0,0.96,0.133,41.0,0.092,0.08,4.0,0.1,2.6,16.6999,0.061,0.717,7.0,12.5
674,"Lasagna, meatless, spinach noodles , cup, cooked",129.0,15.98,2.2999,7.0499,3.12,395.0,0.245,2.5449,1.1458,137.0,0.84,34.0,130.0,169.0,1.0,0.126,44.0,0.094,0.08,4.0,0.1,25.6,14.1,0.05,0.823,9.0,10.0
675,"Ravioli, meat filled, with tomato sauce or meat sauce, cup",148.0,14.23,1.0,8.75,1.76,597.0,0.809,2.007,2.572,29.0,1.8898,16.0,94.0,214.0,1.6,0.126,40.0,0.129,0.6,2.7999,0.3,3.5,13.0,0.113,2.1659,12.0,47.5
676,"Ravioli, cheese and spinach filled, no sauce, cup",151.0,20.05,1.1,7.07,0.28,514.0,0.522,2.205,1.4498,84.0,2.1,24.0,103.0,144.0,0.74,0.082,142.0,0.085,0.17,1.8,0.4,87.0,15.9,0.18,1.4078,39.0,52.7999
677,"Ravioli, cheese and spinach filled, with tomato sauce, cup",117.0,16.28,1.3,5.5499,1.57,541.0,0.402,1.608,1.0609,65.0,1.85,23.0,83.0,211.0,0.6,0.097,110.0,0.092,0.14,3.3999,0.3,64.0,11.6,0.138,1.32,31.0,41.2
678,"Pasta with tomato sauce and cheese, canned (SpaghettiOs), cup, cooked",70.0,14.22,0.9,2.22,4.0,272.0,0.171,0.136,0.088,13.0,0.91,14.0,39.0,192.0,0.38,0.054,36.0,0.058,0.01,0.0,0.0,1.2,9.0,0.058,1.302,4.0,4.0998
679,"Spaghetti and meatballs, tomato sauce, white noodles, no fat added, cup, cooked",122.0,17.53,1.6,5.8799,2.6499,271.0,0.488,0.864,1.0609,17.0,1.12,18.0,63.0,193.0,0.8,0.088,14.0,0.134,0.16,0.9,0.0,6.0998,15.6999,0.173,2.9569,9.0,16.6999
680,"Spaghetti, tomato sauce, white noodles, oil added, cup, cooked",117.0,19.3599,1.7,3.66,2.56,201.0,1.086,0.376,0.883,15.0,1.01,17.0,47.0,161.0,0.38,0.099,14.0,0.1,0.0,2.7999,0.0,7.0998,14.5,0.156,2.394,10.0,8.8
681,"Spaghetti, tomato sauce, whole wheat noodles, oil added, cup",101.0,17.01,3.1,3.37,3.0299,254.0,1.06,0.346,0.881,20.0,0.91,24.0,61.0,174.0,0.5,0.123,16.0,0.122,0.0,1.0,0.0,8.8,13.8,0.066,2.225,8.0,11.6
682,"Spaghetti and meatballs, tomato sauce, whole wheat noodles, oil added, cup",118.0,15.31,2.7999,5.58,2.72,268.0,1.071,1.0088,1.616,21.0,1.01,24.0,76.0,190.0,0.92,0.117,14.0,0.146,0.15,0.9,0.0,8.0,15.1999,0.092,2.466,8.0,18.5
683,"Spaghetti, tomato sauce, spinach noodles, oil added, cup",100.0,16.35,2.6,2.95,2.9199,341.0,0.999,0.315,0.817,23.0,0.63,34.0,64.0,161.0,0.57,0.118,18.0,0.122,0.0,0.9,0.0,34.2,11.6999,0.053,2.2549,11.0,8.5998
684,"Spaghetti and meatballs, tomato sauce, spinach noodles, no fat added, cup",106.0,15.02,2.3999,5.1398,2.68,351.0,0.422,0.771,0.967,23.0,0.75,33.0,79.0,180.0,0.97,0.114,17.0,0.146,0.15,0.8,0.0,30.0,13.4,0.08,2.5139,11.0,15.5
685,"Spaghetti, red clam sauce, cup, liquid and clams",177.0,16.75,1.0,8.9,0.91,157.0,1.495,1.165,4.9889,24.0,1.49,19.0,115.0,235.0,0.48,0.089,43.0,0.051,4.5899,5.7999,0.0,6.7,24.6999,0.14,1.0508,7.0,31.1
686,"Stuffed shells, with chicken, with tomato sauce, cup (12 medium clams)",133.0,16.0598,1.1,10.88,2.0699,211.0,0.602,0.69,0.908,22.0,1.6598,19.0,102.0,236.0,0.68,0.132,30.0,0.18,0.13,3.3999,0.2,2.1,17.0,0.132,2.998,12.0,43.1
687,"Tortellini, cheese filled, meatless, with tomato sauce, canned, cup (12 medium clams)",91.0,15.84,0.7,3.52,1.72,301.0,0.318,0.561,0.436,29.0,0.68,12.0,56.0,38.0,0.45,0.068,7.0,0.043,0.08,0.5,0.1,0.4,16.1999,0.149,1.141,5.0,16.0
688,"Tortellini, cheese filled, no sauce, cup (12 medium clams)",236.0,36.1499,1.5,10.38,0.73,156.0,0.355,2.769,1.589,111.0,0.86,14.0,139.0,21.0,0.78,0.055,28.0,0.026,0.12,0.0,0.0,1.0,18.3998,0.156,1.348,6.0,3.8999
689,"Chow fun noodles, with vegetables, meatless, cup (12 medium clams)",74.0,14.46,1.1,1.56,1.3898,189.0,0.492,0.164,0.227,15.0,0.29,6.0,25.0,73.0,0.22,0.035,7.0,0.048,0.0,3.7999,0.0,9.9,2.3999,0.019,0.299,21.0,5.7
690,"Lo mein, with chicken, cup, strips",129.0,16.1498,1.0,9.6898,2.1099,365.0,1.2,0.559,0.753,18.0,0.97,17.0,81.0,153.0,0.53,0.062,9.0,0.203,0.05,1.3998,0.1,10.3,15.8,0.054,2.443,24.0,17.3
691,"Pad Thai, meatless, cup (12 medium clams)",164.0,16.51,1.7,5.5499,4.75,346.0,3.835,1.377,3.343,64.0,1.1598,29.0,86.0,122.0,0.68,0.14,22.0,0.086,0.07,5.0,0.1,20.3,8.1998,0.068,0.851,26.0,37.5
692,"Macaroni and cheese, made with butter, cup, strips",202.3559,22.1099,1.097,7.7249,3.468,373.899,0.579,5.346,2.4249,144.484,0.974,19.701,155.967,128.7719,0.95,0.077,87.893,0.045,0.221,0.016,0.627,1.1859,17.959,0.166,1.125,6.205,13.1549
693,"Macaroni and cheese, made without fat, cup (12 medium clams)",179.1469,22.971,1.1399,7.99,3.601,363.5079,0.47,3.326,1.608,149.085,1.012,20.384,161.017,132.7589,0.984,0.08,61.6469,0.047,0.222,0.017,0.587,0.929,18.617,0.173,1.167,6.3179,12.853
694,"Macaroni and cheese, made from packaged mix, reduced fat, cup, strips",130.0,16.93,0.6,4.4599,2.0699,313.0,1.421,0.91,2.4729,77.0,0.58,13.0,136.0,78.0,0.47,0.059,50.0,0.037,0.17,0.0,0.2,4.7999,12.3,0.14,1.181,4.0,9.5998
695,"Macaroni and cheese, with tuna (Tuna Helper), cup (8 medium clams)",167.0,18.2398,0.8,7.6299,2.8199,193.0,2.133,1.713,3.085,49.0,0.86,17.0,106.0,74.0,0.49,0.059,69.0,0.095,0.74,0.1,0.4,6.5998,26.3,0.172,2.665,4.0,16.3998
696,"Macaroni and cheese, with hotdogs, cup (12 medium clams)",216.0,18.87,0.8,6.15,3.0899,347.0,2.224,3.923,5.557,48.0,0.79,14.0,109.0,103.0,0.78,0.061,65.0,0.062,0.47,0.1,0.4,6.9,14.5,0.169,1.04,5.0,20.3998
697,"Pasta with tomato sauce, meatless, cup, drained",118.0,19.19,1.8,3.6,2.8999,253.0,1.113,0.385,0.909,16.0,1.02,18.0,46.0,174.0,0.35,0.089,16.0,0.107,0.0,1.0,0.0,8.5,14.0,0.15,2.721,10.0,9.8
698,"Pasta, meat-filled, with gravy, canned (Chef Boyardee Mini Chicken Ravioli), cup, cooked, flaked and pieces",131.0,20.44,0.8,4.78,0.69,433.0,0.914,0.994,0.914,17.0,1.25,9.0,52.0,77.0,0.52,0.081,9.0,0.04,0.05,0.1,0.0,2.5,10.4,0.166,1.991,7.0,10.8
699,"Macaroni, creamed,without fat, cup, cooked, flaked and pieces",114.45,20.3039,1.0069,4.761,2.6139,234.805,0.22,0.622,0.302,57.5339,0.808,14.721,74.0619,89.4129,0.475,0.062,24.003,0.041,0.176,0.027,0.555,0.092,16.003,0.176,1.0649,6.1079,9.954
700,"Pasta salad (macaroni salad), made with light Italian dressing, cup, cooked, flaked and pieces",115.0,20.59,1.7,3.69,2.21,214.0,0.647,0.286,0.715,16.0,1.02,14.0,43.0,105.0,0.37,0.086,63.0,0.063,0.0,5.7,0.0,7.2999,15.4,0.17,1.153,10.0,6.9
701,"Pasta salad (macaroni salad), with tuna, made with mayonnaise , cup, cooked, flaked and pieces",201.0,20.8599,1.2,6.7599,1.58,210.0,5.711,1.577,2.165,9.0,1.11,16.0,62.0,69.0,0.45,0.077,7.0,0.085,0.41,1.5,0.2,23.5,27.6,0.178,2.625,7.0,13.1999
702,"Pasta salad (macaroni salad), with cheese, made with mayonnaise, cup",245.0,21.62,1.3,7.0998,1.69,257.0,5.952,4.3128,3.423,100.0,0.97,16.0,108.0,55.0,0.76,0.075,39.0,0.047,0.12,1.6,0.1,24.5,19.0,0.182,1.111,9.0,11.1
703,"Somen salad with noodles, lettuce, egg, fish, and pork, cup",185.0,17.4698,1.2,13.3,1.36,293.0,1.794,1.714,2.6499,32.0,1.28,26.0,168.0,237.0,1.26,0.118,59.0,0.21,0.49,4.5,0.8,20.1999,32.3999,0.189,1.741,31.0,114.5
704,"Fried rice, with chicken, cup, cooked, diced",172.0,27.87,0.9,7.87,0.48,344.0,1.069,0.6,0.762,11.0,0.65,13.0,77.0,116.0,0.8,0.089,20.0,0.139,0.04,3.2,0.0,2.5,11.9,0.025,1.8958,6.0,12.3
705,"Sushi, with vegetables, no seafood, cup, cooked, diced",87.0,17.55,1.3998,1.76,1.6,337.0,0.17,0.165,0.651,7.0,0.22,8.0,15.0,80.0,0.44,0.109,55.0,0.056,0.0,1.6,0.0,3.1,5.4,0.027,0.479,10.0,5.5998
706,"Paella with seafood, Puerto Rican style, cup, cooked, diced",144.0,15.69,0.9,7.61,0.89,323.0,0.709,0.815,3.698,34.0,1.08,18.0,87.0,116.0,0.87,0.222,33.0,0.123,0.54,7.0998,0.5,6.0,17.8998,0.105,1.3188,10.0,32.6
707,"Rice and beans, with pork, cooked with vegetable oil, cup, cooked, diced",169.0,19.7398,3.5,8.39,0.5,174.0,1.985,1.342,2.536,32.0,1.79,28.0,112.0,249.0,0.97,0.149,1.0,0.162,0.11,0.6,0.1,6.7,9.6998,0.243,1.675,36.0,26.6999
708,"Rice and vegetables, no sauce, cooked without fat, cup, cooked, diced",99.0,21.3999,0.9,2.35,1.09,255.0,0.082,0.066,0.066,17.0,0.97,13.0,41.0,88.0,0.42,0.064,29.0,0.108,0.0,8.4,0.0,7.7,5.4,0.126,1.139,11.0,4.5
709,"Brown rice casserole with cheese, cup, cooked, diced",184.0,21.98,0.8,8.16,4.87,411.0,0.453,4.0919,1.996,211.0,0.44,46.0,224.0,188.0,1.27,0.077,84.0,0.142,0.3,0.0,1.2,1.0,10.0,0.102,1.243,9.0,19.1999
710,"Rice, brown with tomato sauce, cooked with vegetable oil, cup, cooked, diced",92.328,17.285,1.6779,2.157,1.5129,431.8639,0.701,0.269,0.66,10.893,0.596,34.154,64.4479,128.6589,0.491,0.104,6.267,0.127,0.0,1.994,0.0,2.4329,6.75,0.072,1.3209,5.0389,8.9529
711,"Rice, brown with vegetables, no sauce, cooked with margarine, cup",104.0,18.1499,1.8,2.27,1.1399,240.0,0.809,0.485,1.124,15.0,0.43,34.0,69.0,85.0,0.52,0.085,43.0,0.14,0.0,7.0999,0.0,9.0,7.2,0.081,1.195,10.0,9.4
712,"Rice croquette, cup",154.0,19.9698,0.9,3.41,0.76,414.0,1.7648,1.713,2.632,30.0,1.1698,14.0,58.0,129.0,0.53,0.07,26.0,0.101,0.08,2.1,0.2,30.6999,8.1998,0.115,1.098,18.0,29.1999
713,"Rice pilaf, cooked without fat, cup",116.0,24.66,0.4,3.37,0.49,424.0,0.122,0.099,0.121,29.0,0.75,11.0,47.0,58.0,0.33,0.059,1.0,0.123,0.01,1.1,0.0,0.2,10.5,0.156,1.98,5.0,5.7
714,"Dirty rice, cooked without fat, cup",100.0,17.5398,0.6,5.2,0.88,321.0,0.144,0.211,0.168,15.0,1.8,9.0,64.0,87.0,0.79,0.1,211.0,0.107,1.08,5.0,0.0,1.3998,10.5,0.125,1.7648,33.0,17.6999
715,"Flavored rice and pasta mix, cooked with butter (Rice-a-roni, Lipton), cup",112.958,17.507,0.752,2.7229,0.911,283.5819,0.236,2.084,0.874,24.181,1.0189,12.2929,45.945,72.3799,0.333,0.074,27.3329,0.071,0.017,0.875,0.059,6.705,9.515,0.136,1.2869,3.87,4.4779
716,"Spanish rice, cooked with vegetable oil, cup",114.0,19.8098,0.9,2.8799,1.5,314.0,0.865,0.487,0.983,20.0,1.23,11.0,42.0,123.0,0.39,0.082,6.0,0.106,0.03,9.0,0.0,3.3999,4.5,0.133,1.3978,5.0,6.2
717,"Spanish rice, with ground beef, cup",162.0,14.91,0.7,9.6998,1.1298,354.0,0.795,2.2269,2.89,22.0,1.6598,14.0,88.0,182.0,2.12,0.085,5.0,0.188,0.81,6.7999,0.1,3.0,9.5998,0.114,2.5569,6.0,28.3
718,"Wrap sandwich, filled with chicken, vegetables, and rice, cup",155.0,18.37,1.5,9.65,1.76,269.0,0.593,1.679,1.828,32.0,1.25,21.0,110.0,210.0,0.65,0.093,41.0,0.255,0.08,4.7999,0.0,17.0,13.1,0.155,3.2269,23.0,24.3
719,"Vegetable lasagna (frozen meal), cup",147.0,14.38,1.7,5.2999,1.62,295.0,1.655,2.733,2.97,89.0,0.95,17.0,94.0,168.0,0.63,0.104,103.0,0.091,0.11,17.0,0.1,42.7,10.6999,0.109,1.093,32.0,16.3998
720,"Spaghetti with beef in tomato-based sauce, lowfat, reduced sodium (diet frozen meal), cup",90.0,15.24,1.8,5.0499,2.6,238.0,0.32,0.35,0.33,18.0,1.25,15.0,49.0,144.0,0.51,0.125,9.0,0.07,0.06,5.4,0.0,0.7,11.9,0.122,0.177,9.0,12.1999
721,"Cannelloni, cheese-filled, with tomato sauce (diet frozen meal), cup, cooked",115.0,10.68,0.7,7.25,1.2,550.0,0.481,2.6659,1.338,109.0,0.64,12.0,117.0,111.0,0.67,0.068,45.0,0.04,0.14,1.3998,0.1,0.9,10.9,0.07,0.623,7.0,9.1998
722,"Chicken enchilada (diet frozen meal), cup, drained",146.0,11.6,1.2,10.96,2.1899,406.0,0.53,3.499,1.796,143.0,0.69,24.0,171.0,174.0,0.97,0.075,54.0,0.166,0.16,38.1,0.2,3.1,7.9,0.045,1.9279,9.0,23.1999
723,"Beef noodle soup, cup",34.0,3.6299,0.3,1.95,1.04,333.0,0.198,0.462,0.502,8.0,0.45,3.0,19.0,40.0,0.63,0.061,6.0,0.015,0.08,0.1,0.0,0.8,3.0,0.027,0.431,2.0,7.0998
724,"Beef noodle soup, home recipe, cup",70.0,4.5998,0.4,7.1699,0.58,325.0,0.466,0.691,0.946,14.0,0.88,10.0,60.0,131.0,1.4198,0.039,31.0,0.081,0.44,1.7,0.0,16.6,10.0,0.063,1.862,8.0,25.5
725,"Chicken noodle soup, home recipe, cup",59.0,4.9299,0.4,5.6799,0.94,328.0,0.543,0.315,0.606,11.0,0.42,9.0,48.0,96.0,0.36,0.041,33.0,0.092,0.06,1.7,0.0,16.3998,9.0,0.077,1.6,5.0,12.9
726,"Chicken rice soup, cup",34.0,5.7999,0.5,0.92,0.12,325.0,0.171,0.186,0.371,22.0,0.12,6.0,21.0,17.0,0.1,0.053,13.0,0.01,0.06,0.0,0.0,0.2,2.1,0.007,0.46,1.0,4.9
727,"Turkey noodle soup, cup",28.0,3.54,0.3,1.6,0.21,336.0,0.201,0.226,0.329,6.0,0.39,3.0,20.0,31.0,0.24,0.056,7.0,0.015,0.07,0.1,0.0,2.2999,4.5999,0.03,0.572,1.0,6.2999
728,"Soup, mostly noodles (Ramen, Cup Noodles), cup",67.0,9.1699,0.4,1.55,0.3,286.0,0.334,1.235,0.937,6.0,0.62,5.0,17.0,28.0,0.1,0.028,0.0,0.005,0.04,0.0,0.0,1.3998,3.5,0.055,0.74,5.0,0.8
729,"Won ton (wonton) soup, cup",32.0,5.25,0.2,2.08,0.34,406.0,0.071,0.062,0.077,5.0,0.21,3.0,18.0,32.0,0.12,0.024,1.0,0.076,0.09,0.7,0.0,0.9,1.1,0.024,0.58,6.0,19.0
730,"Tortilla soup, Mexican style , cup",117.0,7.49,0.6,4.8498,2.1099,278.0,1.4478,2.742,2.724,82.0,0.35,13.0,96.0,142.0,0.56,0.067,31.0,0.09,0.21,2.8999,0.4,2.7999,4.7,0.044,1.415,7.0,11.6
731,"Quinoa, cooked (no fat or salt added), cup, cooked",120.0,21.21,2.7999,4.3799,0.87,7.0,1.074,0.23,0.526,17.0,1.48,64.0,151.0,171.0,1.09,0.191,0.0,0.123,0.0,0.0,0.0,0.0,2.7999,0.107,0.41,42.0,22.8998
732,"Grapefruit, canned or frozen, unsweetened, cup, cooked",36.0,9.15,0.4,0.58,8.75,2.0,0.024,0.014,0.014,15.0,0.41,10.0,10.0,132.0,0.09,0.067,0.0,0.02,0.0,21.8,0.0,0.0,0.9,0.039,0.249,9.0,5.0998
733,"Grapefruit & orange sections, cooked, canned, or frozen, unsweetened, cup",27.0,6.6799,1.2,0.53,5.5099,1.0,0.017,0.01,0.012,18.0,0.06,6.0,7.0,108.0,0.05,0.034,19.0,0.033,0.0,28.0,0.0,0.0,0.3,0.039,0.171,9.0,5.5
734,"Lime, raw, cup",30.0,10.5398,2.7999,0.7,1.69,2.0,0.055,0.022,0.019,33.0,0.6,6.0,18.0,102.0,0.11,0.065,2.0,0.043,0.0,29.1,0.0,0.6,0.4,0.03,0.2,8.0,5.0998
735,"Orange, mandarin, canned or frozen, drained, cup",38.0,9.41,1.2,0.75,8.25,5.0,0.007,0.004,0.007,12.0,0.27,11.0,11.0,136.0,0.53,0.041,66.0,0.043,0.0,33.8999,0.0,0.0,0.4,0.088,0.445,5.0,6.0
736,"Lemon juice, canned or bottled, cup",21.0,6.48,0.4,0.4,2.3999,21.0,0.085,0.038,0.011,11.0,0.13,8.0,9.0,102.0,0.06,0.037,1.0,0.043,0.0,24.8,0.0,0.0,0.1,0.041,0.197,10.0,5.0998
737,"Orange juice, frozen (reconstituted with water), cup, cooked",45.0,10.9,0.2,0.68,10.67,4.0,0.012,0.007,0.011,11.0,0.1,10.0,16.0,192.0,0.06,0.051,5.0,0.045,0.0,39.3999,0.0,0.1,0.1,0.08,0.204,44.0,5.7
738,"Apple chips, cup",460.0,73.7,9.8,1.04,63.93,98.0,6.101,1.6358,13.433,14.0,1.58,17.0,43.0,454.0,0.23,0.192,3.0,0.21,0.0,1.3998,0.0,18.5,1.3998,0.029,0.482,0.0,18.1999
739,"Currant, dried, cup",283.0,74.0798,6.7999,4.08,67.28,8.0,0.18,0.028,0.047,86.0,3.2599,41.0,125.0,892.0,0.66,0.468,4.0,0.296,0.0,4.7,0.0,3.2999,0.7,0.16,1.615,10.0,10.6
740,"Peach, dried, uncooked, cup",239.0,61.3299,8.1998,3.6099,41.74,7.0,0.367,0.082,0.278,28.0,4.0598,42.0,119.0,996.0,0.57,0.364,108.0,0.067,0.0,4.7999,0.0,15.6999,0.5,0.002,4.375,0.0,12.6999
741,"Prune, dried, cooked, unsweetened, cup",107.0,28.0798,3.1,0.96,24.98,1.0,0.026,0.01,0.08,19.0,0.41,18.0,30.0,321.0,0.19,0.123,17.0,0.218,0.0,2.8999,0.0,26.1,0.1,0.024,0.723,0.0,4.4
742,"Apple, stewed, with low calorie sweetener, cup",42.0,11.27,1.1,0.17,9.39,2.0,0.014,0.008,0.002,4.0,0.23,3.0,5.0,74.0,0.03,0.027,1.0,0.027,0.0,1.0,0.0,0.5,0.3,0.026,0.084,3.0,2.2
743,"Apple, fried, with vegetable oil, cup, cooked",152.955,24.0889,2.2309,0.242,20.89,1.0589,3.0369,0.93,2.7999,5.4189,0.124,4.647,10.224,89.7429,0.039,0.023,2.091,0.034,0.0,2.9929,0.0,9.7629,0.068,0.013,0.076,1.3939,3.1749
744,"Avocado, raw, cup, cooked",160.0,8.5298,6.7,2.0,0.66,7.0,1.816,2.1259,9.7988,12.0,0.55,29.0,52.0,485.0,0.64,0.19,7.0,0.257,0.0,10.0,0.0,21.0,0.4,0.067,1.738,81.0,14.1999
745,"Banana, ripe, fried, with vegetable oil, cup, cooked",147.0,23.9898,2.7,1.1398,12.85,1.0,2.701,0.911,2.486,5.0,0.28,28.0,23.0,338.0,0.16,0.074,2.0,0.347,0.0,6.4,0.0,7.2999,1.0,0.026,0.629,11.0,10.3
746,"Carambola (starfruit), cooked, with sugar, cup, cooked",51.0,11.84,3.0,1.11,8.91,2.0,0.196,0.02,0.032,3.0,0.09,11.0,13.0,127.0,0.13,0.132,3.0,0.017,0.0,29.3,0.0,0.0,0.7,0.012,0.352,8.0,8.0998
